city_baidu_id,name,id,20200101_moveIn,20200102_moveIn,20200103_moveIn,20200104_moveIn,20200105_moveIn,20200106_moveIn,20200107_moveIn,20200108_moveIn,20200109_moveIn,20200110_moveIn,20200111_moveIn,20200112_moveIn,20200113_moveIn,20200114_moveIn,20200115_moveIn,20200116_moveIn,20200117_moveIn,20200118_moveIn,20200119_moveIn,20200120_moveIn,20200121_moveIn,20200122_moveIn,20200123_moveIn,20200124_moveIn,20200125_moveIn,20200126_moveIn,20200127_moveIn,20200128_moveIn,20200129_moveIn,20200130_moveIn,20200131_moveIn,20200201_moveIn,20200202_moveIn,20200203_moveIn,20200204_moveIn,20200205_moveIn,20200206_moveIn,20200207_moveIn,20200208_moveIn,20200209_moveIn,20200210_moveIn,20200211_moveIn,20200212_moveIn,20200213_moveIn,20200214_moveIn,20200215_moveIn,20200216_moveIn,20200217_moveIn,20200218_moveIn,20200219_moveIn,20200220_moveIn,20200221_moveIn,20200222_moveIn,20200223_moveIn,20200224_moveIn,20200225_moveIn,20200226_moveIn,20200227_moveIn,20200228_moveIn,20200229_moveIn,20200301_moveIn,20200302_moveIn,20200303_moveIn,20200304_moveIn,20200305_moveIn,20200306_moveIn,20200307_moveIn,20200308_moveIn,20200309_moveIn,20200310_moveIn,20200311_moveIn,20200312_moveIn,20200313_moveIn,20200314_moveIn,20200315_moveIn,20200316_moveIn,20200317_moveIn,20200318_moveIn,20200319_moveIn,20200320_moveIn,20200321_moveIn,20200322_moveIn,20200323_moveIn,20200324_moveIn,20200325_moveIn,20200326_moveIn,20200327_moveIn,20200328_moveIn,20200329_moveIn,20200330_moveIn,20200331_moveIn
110000,北京市,110000,6.3187776,6.4661976,8.910162,10.5149664,13.858452,11.5080588,10.6967952,11.1843828,11.482722,10.8355644,10.1361456,10.0215468,12.1507776,8.9322588,8.52363,8.6327856,7.9102656,7.295508,7.67637,7.0203348,7.075512,5.9024376,4.8391992,3.7162152,2.5494264,5.0771772,6.3441792,6.0128568,5.71374,6.1088256,5.842692,5.5477224,6.0695244,5.6135268,3.4369272,2.8830816,2.4901668,2.5874316,2.889918,4.0553784,4.224798,2.5855524,2.1970764,2.143908,1.754298,1.539648,2.0478096,2.6313336,2.1994092,2.1466944,2.1308184,1.9199268,1.9823292,2.1708324,2.7277236,2.2782708,2.2356,2.1888144,2.0493648,1.9756548,2.1156228,2.9654424,2.0580804,1.9852452,2.046546,1.93833,1.7257212,1.7801532,2.6813592,2.2033296,2.1360024,2.3048388,2.1762432,2.0624544,2.2150584,3.3401808,2.495124,2.303478,2.4914304,2.4360588,2.196882,2.3233068,3.5339652,2.58228,2.5718796,2.6959068,2.5876908,2.282418,2.6829792,4.0103424,3.0204252
120000,天津市,120000,2.480868,2.2763592,3.9827376,4.2808176,3.9433392,3.4734096,3.6486288,4.0680792,4.1773644,4.1529024,4.458564,3.6547848,3.4784964,2.9701728,2.951478,2.9642436,2.9271132,3.2241888,2.8323432,2.769714,3.0176712,2.747358,2.4186924,1.8603108,1.258092,2.2196916,2.5123608,2.1041856,1.9008432,2.1789972,1.8968256,1.636038,1.6007544,1.409886,0.9526248,0.8598636,0.7269588,0.7871256,0.756054,0.9821736,1.0275984,0.7407612,0.7132212,0.7271856,0.6622236,0.5415012,0.67878,0.846936,0.8972532,0.9774432,0.9939996,1.0038492,1.0901952,1.1109312,1.2602628,1.3385088,1.3623228,1.3140468,1.3488444,1.459134,1.4518764,1.6247952,1.4857668,1.4523948,1.4623092,1.5323904,1.5078312,1.373436,1.539,1.5899004,1.5868224,1.6301088,1.6743996,1.7418888,1.7091972,1.9456848,1.849392,1.8167004,1.805004,1.92132,1.959552,1.8951408,2.1723876,1.9651572,2.011554,2.0259396,2.0615796,2.0161872,2.202876,2.3999004,2.1544704
130100,石家庄市,130100,1.7157096,1.6993476,2.8545048,3.2844528,2.9475576,2.5308936,2.633958,3.131784,3.2362092,3.1767552,3.1558896,2.745576,2.6144208,2.4492132,2.5533792,2.5529904,2.5308288,2.6119584,2.5461216,2.6225856,2.9885112,2.7063396,2.4028164,1.9294524,1.1462796,2.0124612,1.6445592,1.3139496,1.107918,1.276074,1.0101024,0.8643996,0.8807616,0.7472088,0.5607468,0.5086476,0.45117,0.4982472,0.4923504,0.6183216,0.555012,0.4269024,0.3931092,0.3922668,0.3788532,0.3659256,0.3963492,0.4938408,0.4721328,0.5276664,0.5683284,0.6051348,0.6527304,0.6718788,0.6929712,0.670356,0.7090092,0.7136424,0.7347024,0.8263944,0.8910648,0.9916344,0.9172764,1.5037812,1.1689596,1.2434148,1.1986704,1.06029,1.160406,1.7041752,1.3002444,1.480518,1.3927788,1.2455856,1.2458448,1.3879512,1.5605136,1.3603464,1.4343804,1.6191576,1.48311,1.3850352,1.5747048,1.4085576,1.4934132,1.4779584,1.532358,1.5049476,1.7639856,1.8410004,1.6597224
130200,唐山市,130200,1.0358604,1.0592208,1.7557884,1.8977652,1.6119972,1.3885992,1.6200324,1.7634024,1.864458,1.7750664,1.8817596,1.6050312,1.4523624,1.2880944,1.2689136,1.3017672,1.2977496,1.405836,1.393038,1.4725152,1.756404,1.829628,1.8369828,1.3270716,0.8774892,0.9706068,0.8609328,0.7093332,0.5860836,0.593406,0.5357988,0.4501332,0.4274208,0.4098924,0.3412368,0.302292,0.2678508,0.2699244,0.2460456,0.2761776,0.3195288,0.3023892,0.263412,0.2929284,0.2652264,0.2009448,0.2545344,0.3081888,0.3306744,0.3324888,0.348786,0.358992,0.366768,0.3937896,0.4244076,0.4636764,0.5008716,0.5008716,0.5137992,0.6014412,0.5651532,0.6682824,0.6125544,0.6412284,0.6263568,0.638766,0.7882272,0.6765768,0.6761232,0.7001964,0.8238996,0.7652556,0.7851492,0.8104212,0.7918884,0.8462556,0.8234136,0.8500788,1.133352,0.9546984,0.9593316,0.9306252,0.991926,0.9277416,0.9368136,0.9497088,0.9740736,0.9806184,1.050732,1.1209104,1.0319724
130300,秦皇岛市,130300,0.455382,0.4690872,0.7226496,0.7728372,0.6989652,0.6304068,0.7285464,0.7995996,0.8680284,0.7946424,0.8521524,0.7093332,0.6177384,0.5856948,0.5921748,0.6197148,0.6665004,0.68769,0.7130592,0.737262,0.9044136,0.9455616,0.9427104,0.7501572,0.4651992,0.601668,0.592434,0.473202,0.3937572,0.3911976,0.3332016,0.2429676,0.2267352,0.1882116,0.1502064,0.1457028,0.1350108,0.1363716,0.1341036,0.1423008,0.159894,0.1296972,0.1436292,0.1408428,0.1313172,0.1004076,0.101088,0.1372464,0.1395792,0.134298,0.1483596,0.1574316,0.2083644,0.14823,0.1599264,0.1821204,0.1915488,0.1965708,0.1973808,0.2211948,0.204606,0.2151684,0.2167884,0.2106,0.2270268,0.2457216,0.2677536,0.2478276,0.232632,0.2499012,0.2592324,0.2600748,0.2923452,0.2867076,0.281556,0.2942568,0.2931876,0.3366684,0.2962656,0.3608388,0.3533868,0.3277584,0.3508272,0.32886,0.3488184,0.3339468,0.3780108,0.372762,0.3914568,0.3937572,0.395766
130400,邯郸市,130400,1.1523384,1.1214288,1.7411436,2.0940444,1.5206292,1.5752232,1.6192548,1.9426068,2.3131332,1.978992,1.9652868,1.9241712,1.8623196,1.8692208,2.1439404,2.1523644,2.2021308,2.3877828,2.5495884,2.9562408,3.4095816,3.1172688,3.0731724,2.6831088,1.19637,0.8706528,0.5987844,0.4841532,0.4086612,0.4175388,0.373896,0.3406212,0.3874068,0.3256848,0.2900124,0.2822364,0.2580984,0.2738448,0.2786076,0.2816532,0.2810052,0.2770524,0.2738772,0.3109752,0.2913084,0.270702,0.2922156,0.3773628,0.3696192,0.3870828,0.4259304,0.46575,0.491508,0.4961088,0.4794552,0.4763772,0.45279,0.466722,0.4659444,0.5368356,0.50058,0.5606496,0.5727996,0.585792,0.6031908,0.6720408,0.7432236,0.6890508,0.6866856,0.7045704,0.7752348,0.7782804,0.77598,0.8340408,0.8446356,0.8372808,0.8389332,0.8568504,0.853254,0.8896068,0.949806,0.902502,0.929718,0.9149436,0.9443952,0.9191556,0.8993916,0.9500004,1.0477512,1.0360548,1.0229652
130500,邢台市,130500,1.0468116,0.8941428,1.4577732,1.811484,1.343142,1.3187772,1.3771944,1.6765704,1.8874944,1.6453692,1.7298036,1.630044,1.5163848,1.6085304,1.72125,1.627128,1.741824,1.8879156,2.1186684,2.4534252,2.7798228,2.748978,2.8281312,2.108754,0.90072,0.67554,0.4606632,0.3545532,0.2793852,0.2740068,0.2373624,0.2201904,0.2402784,0.202014,0.1693224,0.1669248,0.1552284,0.1518588,0.1703268,0.1779408,0.1734048,0.165402,0.16929,0.1765152,0.1701324,0.1630044,0.1836756,0.2088504,0.2260548,0.2536272,0.2987604,0.3314196,0.351054,0.34587,0.3568536,0.3643056,0.3694896,0.3563676,0.3536784,0.4031208,0.3928824,0.4199688,0.4354236,0.4306608,0.5058936,0.5016816,0.55404,0.5531652,0.54351,0.5685552,0.6017004,0.6081804,0.6153732,0.7046028,0.7037928,0.7114392,0.7156188,0.7307496,0.7343136,0.765774,0.871236,0.8363736,0.8705232,0.8499816,0.8895744,0.8581788,0.9334116,1.0621044,1.1258352,1.0414656,1.0420164
130600,保定市,130600,1.8200376,1.64025,3.288114,3.4223148,2.5398684,2.3095368,2.6280288,2.996028,3.2621292,3.1060584,3.6600012,2.72565,2.3146236,2.2383216,2.3761188,2.399706,2.569968,3.0784536,2.888136,3.0315708,3.7681524,3.9088008,4.0152024,3.292974,1.5661188,1.401948,1.0297368,0.7746516,0.630018,0.6413904,0.5455188,0.4305312,0.4612464,0.4038012,0.3465504,0.322056,0.2973672,0.3016764,0.2990844,0.324162,0.3027456,0.256608,0.2517804,0.2659392,0.2411208,0.2290356,0.2547288,0.3023892,0.3107484,0.3307392,0.3582144,0.3647268,0.3860784,0.4079808,0.467532,0.4863888,0.5034636,0.5138316,0.522288,0.5925636,0.602964,0.6534756,0.6228576,0.6731424,0.6546744,0.68283,0.7747488,0.7647696,0.7631172,0.8732124,0.8325828,0.850824,0.8666028,1.0198548,0.9472464,0.997596,0.9693432,0.9680472,1.0496304,1.078596,1.203336,1.1331576,1.2091356,1.1513016,1.194102,1.1687004,1.2853728,1.4627952,1.5609672,1.4783148,1.4168196
130700,张家口市,130700,0.6611544,0.69417,1.2229056,1.2976524,0.8921988,0.8053668,0.9793872,1.1005632,1.216782,1.1577816,1.410048,1.0391976,0.8952768,0.8759016,0.8990676,0.9286164,1.00359,1.2496032,1.238166,1.3826376,1.7488872,1.8043884,1.782486,1.3534776,0.7347996,0.7796736,0.6114204,0.4450788,0.2920212,0.335988,0.268758,0.2214216,0.2288088,0.1861056,0.1685124,0.1654992,0.1342656,0.1409076,0.13284,0.1392228,0.16038,0.1540296,0.153252,0.159894,0.1349136,0.121014,0.1371168,0.1497204,0.1524744,0.164754,0.1641708,0.170262,0.1795608,0.1903824,0.200718,0.2227176,0.2307852,0.2224908,0.2217456,0.2160432,0.2000052,0.2217456,0.193428,0.1978344,0.206712,0.2177604,0.22761,0.2059344,0.2255688,0.229878,0.2416068,0.2473416,0.2782836,0.2862864,0.277506,0.3032316,0.3022272,0.2960064,0.2894292,0.3088692,0.3262032,0.3124332,0.3646296,0.3449628,0.3529656,0.354132,0.3506328,0.36207,0.4091796,0.4262868,0.432054
130800,承德市,130800,0.463482,0.462186,0.7983036,0.878526,0.6743736,0.5759424,0.7674264,0.8434044,0.9086256,0.8228304,0.934416,0.7464636,0.6498468,0.6497172,0.6723324,0.7170768,0.7428672,0.8910972,0.9210348,1.056078,1.3830588,1.4094324,1.3304736,0.9132264,0.50139,0.5272776,0.3762936,0.2811996,0.203148,0.2253744,0.1818936,0.1615464,0.1833192,0.133326,0.1241892,0.1178712,0.1073736,0.106596,0.0974916,0.1059156,0.1062072,0.0980424,0.101088,0.1083456,0.089262,0.0733212,0.0865404,0.1149876,0.1329372,0.1340388,0.1324836,0.1363068,0.1478736,0.1465776,0.1639116,0.1580472,0.1644948,0.1705536,0.1706508,0.1776492,0.1742472,0.1863648,0.1930068,0.1709424,0.1729188,0.1781676,0.1816992,0.1984176,0.184842,0.2091744,0.2115072,0.2163672,0.2191536,0.2357424,0.23085,0.2369088,0.2321784,0.2397276,0.2325996,0.2495448,0.2731644,0.27216,0.2840832,0.2862216,0.2961036,0.2766636,0.2908548,0.3012876,0.3314844,0.3335904,0.3281148
130900,沧州市,130900,1.23039,1.0081584,1.7548164,2.1207096,1.8072072,1.5700068,1.7060868,2.0276568,2.2290552,2.0991636,2.1557016,1.9047312,1.70262,1.6901784,1.7275356,1.7352792,1.8554508,1.9367424,2.1151044,2.2190112,2.6545644,2.7924264,2.746224,1.9280592,0.9676584,0.8565912,0.6453432,0.5117904,0.4470876,0.4484484,0.3914568,0.336474,0.371142,0.3386124,0.2895264,0.27297,0.2631852,0.2731644,0.2681424,0.2812968,0.2890728,0.2456568,0.2555712,0.2769552,0.2536596,0.2466288,0.2377512,0.2756268,0.2753676,0.2903364,0.3502116,0.3335904,0.3239028,0.3468096,0.406944,0.4269348,0.4551552,0.462672,0.4593672,0.5025564,0.5131512,0.571536,0.543672,0.5495688,0.5788908,0.621756,0.6790068,0.7567344,0.6612192,0.7109856,0.7506756,0.7776,0.8066628,0.8892828,0.8654688,0.9204516,0.9059364,0.9352584,0.963414,1.0298664,1.03275,1.009422,1.07973,1.0496628,1.0755504,1.0324908,1.0752264,1.15182,1.3107744,1.2573792,1.2655116
131000,廊坊市,131000,2.1736836,1.4437116,4.4011188,3.9556188,3.0393792,2.6412156,3.3140988,3.3447816,3.561246,3.3773436,4.3790868,3.2431752,2.5279128,2.52153,2.6176608,2.5276536,2.6896212,3.2643324,2.4605856,2.4752628,2.7472932,2.708478,2.6649,2.3369796,1.3704876,1.4832072,1.3860072,1.1688624,0.992088,1.0874736,0.9997992,0.8362116,0.8416548,0.772254,0.6477732,0.5887728,0.5251068,0.5678424,0.610254,0.5771412,0.5908464,0.512406,0.4726836,0.4949424,0.46656,0.4650696,0.433026,0.526662,0.5666112,0.5649588,0.6009876,0.6530544,0.7571232,0.6674076,0.7180164,0.7778268,0.8326152,0.8337492,0.8929116,1.0185264,0.8448948,0.9822384,0.9786744,0.9756936,1.0634652,1.1459556,1.300698,1.0428912,1.1066544,1.2043728,1.1943936,1.2251088,1.309932,1.5671556,1.2760416,1.3709412,1.4173704,1.4357736,1.4088492,1.5567228,1.8167652,1.4818464,1.5690024,1.571076,1.60785,1.6112844,1.7365104,2.0487492,1.8379224,1.8675036,1.8285588
