city_baidu_id,name,id,420100_20200117_moveIn,420100_20200118_moveIn,420100_20200119_moveIn,420100_20200120_moveIn,420100_20200121_moveIn,420100_20200122_moveIn,420100_20200123_moveIn,420100_20200124_moveIn,420100_20200125_moveIn,420100_20200126_moveIn,420100_20200127_moveIn,420100_20200128_moveIn,420100_20200129_moveIn,420100_20200130_moveIn,420100_20200131_moveIn,420100_20200201_moveIn,420100_20200202_moveIn,420100_20200203_moveIn,420100_20200204_moveIn,420100_20200205_moveIn,420100_20200206_moveIn,420100_20200207_moveIn,420100_20200208_moveIn,420100_20200209_moveIn,420100_20200210_moveIn,420100_20200211_moveIn,420100_20200212_moveIn,420100_20200213_moveIn,420100_20200214_moveIn,420100_20200215_moveIn,420100_20200216_moveIn,420100_20200217_moveIn,420100_20200218_moveIn,420100_20200219_moveIn,420100_20200220_moveIn,420100_20200221_moveIn,420100_20200222_moveIn,420100_20200223_moveIn,420100_20200224_moveIn,420100_20200225_moveIn,420100_20200226_moveIn,420100_20200227_moveIn,420100_20200228_moveIn,420100_20200229_moveIn,420100_20200301_moveIn
110000,北京市,110000,1.07,0.73,0.68,0.56,0.47,0.39,0.36,0.39,0.42,0.42,0.27,0.21,0.13,0.07,0.2,0.17,0.11,0.13,0.15,0.24,0.14,0.08,0.14,0.21,0.14,0.25,0.18,0.11,0.45,0.44,0.3,0.25,0.17,0.11,0.14,0.18,0.23,0.07,0.28,0.16,0.24,0.19,0.17,0.13,0.16
120000,天津市,120000,0.15,0.14,0.14,0.11,0.09,0.07,0.06,0.09,0.08,0.0,0.06,0.07,0.0,0.05,0.08,0.02,0.03,0.0,0.08,0.03,0.04,0.03,0.05,0.03,0.07,0.04,0.04,0.06,0.0,0.06,0.23,0.13,0.11,0.0,0.03,0.1,0.08,0.12,0.07,0.07,0.09,0.06,0.0,0.09,0.0
130100,石家庄市,130100,0.21,0.17,0.16,0.15,0.15,0.14,0.09,0.1,0.08,0.06,0.0,0.04,0.03,0.07,0.04,0.08,0.0,0.06,0.04,0.03,0.02,0.0,0.04,0.02,0.04,0.03,0.03,0.0,0.06,0.06,0.04,0.04,0.07,0.05,0.0,0.06,0.05,0.03,0.05,0.0,0.0,0.0,0.0,0.0,0.0
130200,唐山市,130200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.03,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02
130300,秦皇岛市,130300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130400,邯郸市,130400,0.2,0.16,0.16,0.15,0.14,0.12,0.1,0.09,0.0,0.0,0.06,0.04,0.0,0.0,0.04,0.05,0.0,0.04,0.04,0.0,0.04,0.0,0.02,0.05,0.02,0.02,0.03,0.0,0.03,0.07,0.07,0.06,0.0,0.03,0.03,0.0,0.02,0.0,0.06,0.0,0.0,0.0,0.05,0.04,0.0
130500,邢台市,130500,0.18,0.15,0.16,0.16,0.12,0.09,0.08,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.02,0.0,0.0,0.0,0.03
130600,保定市,130600,0.13,0.12,0.11,0.12,0.1,0.09,0.06,0.0,0.0,0.0,0.06,0.0,0.0,0.02,0.0,0.0,0.02,0.06,0.0,0.0,0.03,0.05,0.06,0.0,0.0,0.02,0.0,0.03,0.15,0.0,0.03,0.0,0.03,0.0,0.02,0.03,0.02,0.05,0.0,0.03,0.11,0.0,0.03,0.03,0.04
130700,张家口市,130700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.04,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0
130800,承德市,130800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130900,沧州市,130900,0.12,0.1,0.13,0.11,0.09,0.07,0.06,0.08,0.0,0.0,0.0,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0
131000,廊坊市,131000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.02,0.0,0.06,0.0,0.03,0.04,0.0,0.0,0.02,0.0,0.0,0.02,0.03,0.03,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.03,0.03,0.0,0.0,0.0,0.05,0.03,0.0
