id,location,confirmed_before,cured_before,dead_before,confirmed,cured,dead,confirmed_after,cured_after,dead_after
110000,北京市,68,0,0,580,418,8,512,418,8
120000,天津市,14,0,0,174,135,3,160,135,3
130100,石家庄市,7,0,0,29,29,0,22,29,0
130200,唐山市,0,0,0,58,55,1,0,0,0
130300,秦皇岛市,0,0,0,10,9,1,0,0,0
130400,邯郸市,2,0,0,32,32,0,30,32,0
130500,邢台市,1,0,0,23,22,1,22,22,1
130600,保定市,3,0,0,32,32,0,29,32,0
130700,张家口市,0,0,0,41,41,0,0,0,0
130800,承德市,1,0,0,7,7,0,6,7,0
130900,沧州市,2,0,1,48,45,3,46,45,2
131000,廊坊市,2,0,0,30,30,0,28,30,0
131100,衡水市,0,0,0,8,8,0,8,8,0
140100,太原市,2,0,0,20,20,0,18,20,0
140200,大同市,1,0,0,12,12,0,11,12,0
140300,阳泉市,1,0,0,4,4,0,3,4,0
140400,长治市,1,0,0,8,8,0,7,8,0
140500,晋城市,0,0,0,10,10,0,0,0,0
140600,朔州市,2,0,0,8,8,0,6,8,0
140700,晋中市,2,0,0,37,37,0,35,37,0
140800,运城市,2,0,0,19,19,0,17,19,0
140900,忻州市,0,0,0,7,7,0,0,0,0
141000,临汾市,1,0,0,2,2,0,1,2,0
141100,吕梁市,1,0,0,6,6,0,5,6,0
150100,呼和浩特市,0,0,0,7,7,0,0,0,0
150200,包头市,2,0,0,11,11,0,9,11,0
150300,乌海市,0,0,0,2,2,0,0,0,0
150400,赤峰市,1,0,0,9,9,0,8,9,0
150500,通辽市,1,0,0,7,7,0,6,7,0
150600,鄂尔多斯市,2,0,0,11,11,0,9,11,0
150700,呼伦贝尔市,2,0,0,7,7,0,5,7,0
150800,巴彦淖尔市,0,0,0,8,7,1,0,0,0
150900,乌兰察布市,0,0,0,3,3,0,0,0,0
152200,兴安盟,1,0,0,1,1,0,0,1,0
152500,锡林郭勒盟,2,0,0,9,9,0,7,9,0
152900,阿拉善盟,0,0,0,0,0,0,0,0,0
210100,沈阳市,6,0,0,28,28,0,22,28,0
210200,大连市,4,0,0,19,19,0,15,19,0
210300,鞍山市,0,0,0,4,4,0,0,0,0
210400,抚顺市,0,0,0,0,0,0,0,0,0
210500,本溪市,2,0,0,3,3,0,1,3,0
210600,丹东市,1,0,0,11,11,0,10,11,0
210700,锦州市,0,0,0,12,12,0,0,0,0
210800,营口市,1,0,0,1,1,0,0,1,0
210900,阜新市,0,0,0,8,8,0,0,0,0
211000,辽阳市,0,0,0,3,3,0,0,0,0
211100,盘锦市,2,0,0,11,11,0,9,11,0
211200,铁岭市,2,0,0,7,7,0,5,7,0
211300,朝阳市,2,0,0,6,5,1,4,5,1
